start_S_H,start_S_W,start_S_A,end_S_H,end_S_W,end_S_A
0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.035,0.965,0.0,1.0,0.0
0.0,0.07,0.93,0.0,1.0,0.0
0.0,0.105,0.895,0.0,1.0,0.0
0.0,0.14,0.86,0.0,1.0,0.0
0.0,0.17,0.83,0.0,1.0,0.0
0.0,0.205,0.795,0.0,1.0,0.0
0.0,0.24,0.76,0.0,1.0,0.0
0.0,0.275,0.725,0.0,1.0,0.0
0.0,0.31,0.69,0.0,1.0,0.0
0.0,0.345,0.655,0.0,1.0,0.0
0.0,0.38,0.62,0.0,1.0,0.0
0.0,0.415,0.585,0.0,1.0,0.0
0.0,0.45,0.55,0.0,1.0,0.0
0.0,0.485,0.515,0.0,1.0,0.0
0.0,0.515,0.485,0.0,1.0,0.0
0.0,0.55,0.45,0.0,1.0,0.0
0.0,0.585,0.415,0.0,1.0,0.0
0.0,0.62,0.38,0.0,1.0,0.0
0.0,0.655,0.345,0.0,1.0,0.0
0.0,0.69,0.31,0.0,1.0,0.0
0.0,0.725,0.275,0.0,1.0,0.0
0.0,0.76,0.24,0.0,1.0,0.0
0.0,0.795,0.205,0.0,1.0,0.0
0.0,0.83,0.17,0.0,1.0,0.0
0.0,0.86,0.14,0.0,1.0,0.0
0.0,0.895,0.105,0.0,1.0,0.0
0.0,0.93,0.07,0.0,1.0,0.0
0.0,0.965,0.035,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0
0.035,0.0,0.965,1.0,0.0,0.0
0.035,0.035,0.93,0.49999999984374777,0.5000000001562522,0.0
0.035,0.07,0.895,0.4999999998437481,0.5000000001562519,0.0
0.035,0.105,0.86,0.4999999998437473,0.5000000001562527,0.0
0.03,0.14,0.83,0.49999999984374843,0.5000000001562516,0.0
0.035,0.17,0.795,0.4999999998437481,0.5000000001562519,0.0
0.035,0.205,0.76,0.4999999998437481,0.5000000001562519,0.0
0.035,0.24,0.725,0.4999999998437489,0.5000000001562511,0.0
0.035,0.275,0.69,0.49999999984374843,0.5000000001562516,0.0
0.035,0.31,0.655,0.49999999984374766,0.5000000001562523,0.0
0.035,0.345,0.62,0.4999999998437481,0.5000000001562519,0.0
0.035,0.38,0.585,0.49999999984374777,0.5000000001562522,0.0
0.035,0.415,0.55,0.4999999998437481,0.5000000001562519,0.0
0.035,0.45,0.515,0.4999999998437489,0.5000000001562511,0.0
0.03,0.485,0.485,0.4999999998437481,0.5000000001562519,0.0
